poem_id,master_poem_id
skvr01106730,skvr01208010
skvr01106730,skvr01102840
skvr01103840,skvr01201330
skvr01103840,skvr01102870
skvr01201760,skvr01208450
skvr01201760,skvr01103010
skvr01301940,skvr01107090
skvr01104300,skvr01114220
skvr01104300,skvr01108510
skvr01104960,skvr01100950
skvr01104960,skvr01108760
skvr01212080,skvr01212440
skvr01105800,skvr01100110
skvr01105800,skvr01213520
skvr02102700,skvr02104530
skvr02102700,skvr02104110
skvr02101260,skvr02101150
skvr05112330,skvr05212540
skvr07115890,skvr07226640
skvr07115890,skvr07108631
skvr07115850,skvr07226820
skvr07115850,skvr07108640
skvr07115810,skvr07226720
skvr07115810,skvr07108660
skvr01105740,skvr01100010
skvr01101440,skvr01100020
skvr01105741,skvr01100020
skvr01101441,skvr01100021
skvr01105760,skvr01100040
skvr01105761,skvr01100041
skvr01105790,skvr01100090
skvr01105791,skvr01100091
skvr01113100,skvr01100100
skvr01105820,skvr01100130
skvr01105830,skvr01100140
skvr01105850,skvr01100170
skvr01105860,skvr01100180
skvr01104400,skvr01100210
skvr01104440,skvr01100240
skvr01105180,skvr01100240
skvr01103550,skvr01100300
skvr01105980,skvr01100300
skvr01104500,skvr01100300
skvr01105981,skvr01100301
skvr01208230,skvr01100350
skvr01101640,skvr01100400
skvr01103950,skvr01100420
skvr01106060,skvr01100420
skvr01101660,skvr01100450
skvr01102470,skvr01100450
skvr01106120,skvr01100490
skvr01114660,skvr01100490
skvr01103980,skvr01100510
skvr01103991,skvr01100542
skvr01104750,skvr01100600
skvr01104760,skvr01100610
skvr01107780,skvr01100720
skvr01103710,skvr01100780
skvr01106390,skvr01100780
skvr01106790,skvr01100780
skvr01102630,skvr01100800
skvr01104880,skvr01100800
skvr01105320,skvr01100800
skvr01113700,skvr01100810
skvr01106451,skvr01100833
skvr01106420,skvr01100860
skvr01101410,skvr01100890
skvr01102690,skvr01100890
skvr01103110,skvr01100890
skvr01105350,skvr01100890
skvr01103430,skvr01100920
skvr01103750,skvr01100920
skvr01104190,skvr01100920
skvr01104930,skvr01100930
skvr01102700,skvr01100940
skvr01105360,skvr01100940
skvr01106480,skvr01100970
skvr01106510,skvr01101020
skvr01101940,skvr01101030
skvr01106540,skvr01101030
skvr01106550,skvr01101050
skvr01106560,skvr01101060
skvr01106610,skvr01101170
skvr01106620,skvr01101200
skvr01106660,skvr01101220
skvr01106680,skvr01101230
skvr01102020,skvr01101270
skvr01100070,skvr01101450
skvr01105780,skvr01101450
skvr01104370,skvr01101490
skvr01100260,skvr01101560
skvr01100261,skvr01101561
skvr01100270,skvr01101570
skvr01105190,skvr01101570
skvr01105920,skvr01101570
skvr01204701,skvr01101620
skvr01102260,skvr01101830
skvr01302700,skvr01101830
skvr01100980,skvr01101900
skvr01111520,skvr01102270
skvr01101840,skvr01102590
skvr01113740,skvr01102640
skvr01100870,skvr01102660
skvr01105370,skvr01102720
skvr01104970,skvr01102730
skvr01120130,skvr01102730
skvr01108180,skvr01102750
skvr01105120,skvr01102801
skvr01201230,skvr01102810
skvr01201240,skvr01102811
skvr01201250,skvr01102830
skvr01201670,skvr01102970
skvr01201700,skvr01102980
skvr01201701,skvr01102981
skvr01201740,skvr01102990
skvr01106350,skvr01103040
skvr01201820,skvr01103040
skvr01100740,skvr01103050
skvr01201860,skvr01103070
skvr01201910,skvr01103090
skvr01201990,skvr01103150
skvr01202000,skvr01103170
skvr01101040,skvr01103180
skvr01101100,skvr01103210
skvr01202050,skvr01103220
skvr01202100,skvr01103250
skvr01101250,skvr01103290
skvr01103460,skvr01103320
skvr01202200,skvr01103320
skvr01202290,skvr01103340
skvr01206500,skvr01103350
skvr01208560,skvr01103420
skvr01208561,skvr01103421
skvr01103910,skvr01103560
skvr01106020,skvr01103570
skvr01105262,skvr01103612
skvr01107600,skvr01103620
skvr01104740,skvr01103640
skvr01104020,skvr01103650
skvr01106200,skvr01103650
skvr01204720,skvr01103680
skvr01101841,skvr01103690
skvr01106380,skvr01103690
skvr01104240,skvr01103790
skvr01106000,skvr01103890
skvr01106030,skvr01103920
skvr01100390,skvr01103940
skvr01106050,skvr01103940
skvr01102540,skvr01104040
skvr01106230,skvr01104040
skvr01106270,skvr01104050
skvr01107900,skvr01104090
skvr01103730,skvr01104150
skvr01103130,skvr01104200
skvr01201970,skvr01104200
skvr01102760,skvr01104220
skvr01106500,skvr01104220
skvr01106710,skvr01104310
skvr01100030,skvr01104330
skvr01105750,skvr01104330
skvr01100050,skvr01104340
skvr01100060,skvr01104350
skvr01105770,skvr01104350
skvr01100080,skvr01104360
skvr01100190,skvr01104380
skvr01105510,skvr01104390
skvr01100200,skvr01104410
skvr01105170,skvr01104420
skvr01105900,skvr01104420
skvr01100220,skvr01104420
skvr01101510,skvr01104420
skvr01103510,skvr01104420
skvr01100230,skvr01104430
skvr01103551,skvr01104501
skvr01102920,skvr01104540
skvr01105230,skvr01104560
skvr01105240,skvr01104580
skvr01100500,skvr01104650
skvr01100530,skvr01104670
skvr01105270,skvr01104690
skvr01105291,skvr01104730
skvr01105292,skvr01104731
skvr01105293,skvr01104732
skvr01105330,skvr01104910
skvr01105331,skvr01104911
skvr01301960,skvr01104940
skvr01109880,skvr01105070
skvr01105470,skvr01105080
skvr01101990,skvr01105090
skvr01105500,skvr01105130
skvr01105990,skvr01105200
skvr01103870,skvr01105200
skvr01101590,skvr01105200
skvr01100310,skvr01105210
skvr01102680,skvr01105340
skvr01105020,skvr01105390
skvr01108390,skvr01105690
skvr01103930,skvr01106040
skvr01103970,skvr01106110
skvr01102490,skvr01106130
skvr01102500,skvr01106140
skvr01102501,skvr01106141
skvr01107640,skvr01106170
skvr01107680,skvr01106190
skvr01102550,skvr01106240
skvr01104780,skvr01106240
skvr01102570,skvr01106300
skvr01201800,skvr01106340
skvr01104080,skvr01106340
skvr01103030,skvr01106340
skvr01108040,skvr01106430
skvr01102710,skvr01106460
skvr01100960,skvr01106470
skvr01100990,skvr01106490
skvr01105400,skvr01106580
skvr01108330,skvr01106580
skvr01101090,skvr01106580
skvr01103450,skvr01106590
skvr01104230,skvr01106640
skvr01105460,skvr01106670
skvr01103800,skvr01106690
skvr01105480,skvr01106690
skvr01101310,skvr01106700
skvr01102800,skvr01106700
skvr01104270,skvr01106700
skvr01103300,skvr01106701
skvr01104271,skvr01106701
skvr01203380,skvr01106720
skvr01101390,skvr01106800
skvr01110800,skvr01106840
skvr01113710,skvr01106940
skvr01108830,skvr01107040
skvr01109100,skvr01107040
skvr01103500,skvr01107050
skvr01108840,skvr01107060
skvr01108860,skvr01107120
skvr01109180,skvr01107120
skvr01108870,skvr01107160
skvr01101520,skvr01107180
skvr01108880,skvr01107180
skvr01103830,skvr01107220
skvr01103831,skvr01107221
skvr01105930,skvr01107240
skvr01109190,skvr01107240
skvr01108910,skvr01107540
skvr01102510,skvr01107580
skvr01104680,skvr01107580
skvr01102511,skvr01107582
skvr01104770,skvr01107710
skvr01100850,skvr01108030
skvr01101400,skvr01108030
skvr01102670,skvr01108070
skvr01100900,skvr01108090
skvr01103740,skvr01108090
skvr01104180,skvr01108090
skvr01104980,skvr01108160
skvr01301850,skvr01108350
skvr01204340,skvr01108370
skvr01104260,skvr01108490
skvr01113410,skvr01108490
skvr01101330,skvr01108530
skvr01103330,skvr01108540
skvr01109050,skvr01108560
skvr01105310,skvr01108710
skvr01108810,skvr01109070
skvr01110040,skvr01109420
skvr01109080,skvr01109570
skvr01103490,skvr01109590
skvr01109110,skvr01109590
skvr01109120,skvr01109600
skvr01109121,skvr01109601
skvr01109160,skvr01109640
skvr01109170,skvr01109650
skvr01109220,skvr01109720
skvr01109230,skvr01109730
skvr01109240,skvr01109740
skvr01109340,skvr01109851
skvr01109330,skvr01109860
skvr01300700,skvr01110090
skvr01300660,skvr01110120
skvr01103810,skvr01110140
skvr01104290,skvr01110140
skvr01300370,skvr01110150
skvr01108520,skvr01110160
skvr01301900,skvr01110170
skvr01103470,skvr01110180
skvr01301120,skvr01111600
skvr01115300,skvr01111870
skvr01102150,skvr01112000
skvr01102250,skvr01112060
skvr01101380,skvr01112910
skvr01104320,skvr01113420
skvr01101240,skvr01114670
skvr01302570,skvr01114730
skvr01102410,skvr01115350
skvr01116460,skvr01115360
skvr01301020,skvr01115540
skvr01104900,skvr01116300
skvr01106530,skvr01117030
skvr01112980,skvr01202030
skvr01301440,skvr01202060
skvr01102420,skvr01202310
skvr01102450,skvr01202530
skvr01218600,skvr01202580
skvr01102600,skvr01202980
skvr01106740,skvr01204950
skvr01106750,skvr01204970
skvr01106760,skvr01204990
skvr01103360,skvr01208120
skvr01106770,skvr01208240
skvr01106360,skvr01211070
skvr01108690,skvr01212330
skvr01108700,skvr01212340
skvr01101420,skvr01212500
skvr01217550,skvr01214280
skvr01107760,skvr01218720
skvr01221620,skvr01221340
skvr01221730,skvr01221380
skvr01221770,skvr01221380
skvr01221520,skvr01221450
skvr01221610,skvr01221500
skvr01221590,skvr01221530
skvr01221650,skvr01221570
skvr01221430,skvr01221600
skvr01222860,skvr01221800
skvr01222010,skvr01221990
skvr01223920,skvr01222110
skvr01221471,skvr01222950
skvr01221480,skvr01223910
skvr01224140,skvr01223940
skvr01224190,skvr01223940
skvr01224490,skvr01224120
skvr01224000,skvr01224210
skvr01224180,skvr01224210
skvr01224770,skvr01224600
skvr01224690,skvr01224700
skvr01224390,skvr01224920
skvr01224110,skvr01225041
skvr02100240,skvr02100020
skvr02103930,skvr02100020
skvr02100870,skvr02100320
skvr02100871,skvr02100321
skvr02102300,skvr02100350
skvr02105900,skvr02100350
skvr02102290,skvr02100360
skvr02100540,skvr02100440
skvr02103080,skvr02100450
